"Persons living in acceptable housing, by tenure including first-time homebuyer and social and affordable housing status, by province 1 2 3 4 5 6"
"Frequency: Occasional"
"Table: 46-10-0071-01"
"Release date: 2023-03-31"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,,"2021",,,,,,
,"Tenure including first-time homebuyer and social and affordable housing status 4 5 6","Total, by tenure","Owner household","Owner household, first-time homebuyer","Owner household, not first-time homebuyer","Renter household","Renter not in social and affordable housing","Renter in social and affordable housing"
,"Statistics","Percentage of persons","Percentage of persons","Percentage of persons","Percentage of persons","Percentage of persons","Percentage of persons","Percentage of persons"
"Acceptable housing 2","Geography"
,,"Percent",,,,,,
"Does not live in acceptable housing","Canada (excluding territories)","29.0","22.0","32.0","21.0","47.0","47.0","44.0"
,"Atlantic Region","22.0","15.9","16.4","15.9","40.0","40.0","41.0"
,"Newfoundland and Labrador","18.0","12.6","10.9","12.8","39.0","37.0","47.0"
,"Prince Edward Island","23.0","14.4","13.5","14.6","46.0","47.0","41.0"
,"Nova Scotia","25.0","18.6","16.3","18.9","43.0","44.0","38.0"
,"New Brunswick","19.5","15.4","20.0","14.7","34.0","33.0","40.0"
,"Quebec","23.0","16.5","18.5","16.3","38.0","38.0","34.0"
,"Ontario","33.0","26.0","39.0","24.0","55.0","56.0","46.0"
,"Prairies Region","28.0","22.0","32.0","21.0","46.0","45.0","55.0"
,"Manitoba","29.0","23.0","18.2","24.0","48.0","47.0","51.0"
,"Saskatchewan","25.0","21.0","33.0","19.0","41.0","40.0","44.0"
,"Alberta","28.0","22.0","36.0","20.0","46.0","45.0","62.0"
,"British Columbia","30.0","25.0","34.0","23.0","44.0","45.0","41.0"
"Lives in acceptable housing","Canada (excluding territories)","71.0","78.0","68.0","79.0","53.0","53.0","56.0"
,"Atlantic Region","78.0","84.1","83.6","84.1","60.0","60.0","59.0"
,"Newfoundland and Labrador","82.0","87.4","89.1","87.2","61.0","63.0","53.0"
,"Prince Edward Island","77.0","85.6","86.5","85.4","54.0","53.0","59.0"
,"Nova Scotia","75.0","81.4","83.7","81.1","57.0","56.0","62.0"
,"New Brunswick","80.5","84.6","80.0","85.3","66.0","67.0","60.0"
,"Quebec","77.0","83.5","81.5","83.7","62.0","62.0","66.0"
,"Ontario","67.0","74.0","61.0","76.0","45.0","44.0","54.0"
,"Prairies Region","72.0","78.0","68.0","79.0","54.0","55.0","45.0"
,"Manitoba","71.0","77.0","81.8","76.0","52.0","53.0","49.0"
,"Saskatchewan","75.0","79.0","67.0","81.0","59.0","60.0","56.0"
,"Alberta","72.0","78.0","64.0","80.0","54.0","55.0","38.0"
,"British Columbia","70.0","75.0","66.0","77.0","56.0","55.0","59.0"




Footnotes:
1,"Source: Statistics Canada, Canadian Housing Survey."
2,"Acceptable housing refers to whether a private household’s housing meets each of the three standards established by the Canada Mortgage and Housing Corporation (CMHC) for affordability, suitability and condition of dwelling. Affordable housing has shelter costs equal to less than 30% of total before-tax household income. Suitable housing has enough bedrooms for the size and composition of resident households according to the National Occupancy Standard (NOS), conceived by the CMHC and provincial and territorial representatives. Housing meets the condition of dwelling standard when its residents report it as not requiring any major repairs. Housing that is affordable, suitable in size, and not in need of major repairs, is considered to be acceptable."
3,"The confidence interval illustrates the degree of variability associated with an estimate. A wider confidence interval indicates higher variability, meaning that the estimate should be interpreted with due caution. The 95% confidence interval of an estimate means that if the survey were repeated over and over, the confidence interval would cover the true population value 95% of the time (or 19 times out of 20). Bootstrapping techniques were used to produce the 95% confidence intervals."
4,"“Tenure” refers to whether the person’s household owns or rents their private dwelling."
5,"Households are classified as first-time homebuyers if households own their current dwelling and: either the reference person indicated on the survey that they moved within the last five years (and previously rented or lived rent-free), or the reference person or their spouse (at the time of their home purchase) made use of first-time homebuyer tax incentives in the four calendar years preceding the reference year based on linked administrative data. To be eligible for tax incentives for first-time homebuyers, the homebuyer must not have lived in another home they or their current spouse or common-law partner owned during the preceding four years and must intend to occupy their new home within one year of purchasing it."
6,"Social and affordable housing refers to “non-market rental housing” (for example, where housing allocation and rent-setting mechanisms are not entirely dictated by the law of supply and demand)."



"How to cite: Statistics Canada. Table 46-10-0071-01  Persons living in acceptable housing, by tenure including first-time homebuyer and social and affordable housing status, by province"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=4610007101
