"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Alma, Quebec","2011S0504410","Rate","257","units","0","v733396","1","8.3","","","","1"
"2015","Alma, Quebec","2011S0504410","Rate","257","units","0","v733396","1","9.5","","","","1"
"2016","Alma, Quebec","2011S0504410","Rate","257","units","0","v733396","1","7.0","","","","1"
"2017","Alma, Quebec","2011S0504410","Rate","257","units","0","v733396","1","5.1","","","","1"
"2018","Alma, Quebec","2011S0504410","Rate","257","units","0","v733396","1","3.6","","","","1"
"2019","Alma, Quebec","2011S0504410","Rate","257","units","0","v733396","1","1.5","","","","1"
"2020","Alma, Quebec","2011S0504410","Rate","257","units","0","v733396","1","1.4","","","","1"
"2021","Alma, Quebec","2011S0504410","Rate","257","units","0","v733396","1","1.0","","","","1"
"2022","Alma, Quebec","2011S0504410","Rate","257","units","0","v733396","1","0.3","","","","1"
"2014","Amos, Quebec","2011S0504481","Rate","257","units","0","v733477","2","2.1","","","","1"
"2015","Amos, Quebec","2011S0504481","Rate","257","units","0","v733477","2","2.4","","","","1"
"2016","Amos, Quebec","2011S0504481","Rate","257","units","0","v733477","2","3.3","","","","1"
"2017","Amos, Quebec","2011S0504481","Rate","257","units","0","v733477","2","","F","","","1"
"2018","Amos, Quebec","2011S0504481","Rate","257","units","0","v733477","2","","F","","","1"
"2019","Amos, Quebec","2011S0504481","Rate","257","units","0","v733477","2","","F","","","1"
"2020","Amos, Quebec","2011S0504481","Rate","257","units","0","v733477","2","","F","","","1"
"2021","Amos, Quebec","2011S0504481","Rate","257","units","0","v733477","2","","F","","","1"
"2022","Amos, Quebec","2011S0504481","Rate","257","units","0","v733477","2","","F","","","1"
"2014","Baie-Comeau, Quebec","2011S0504406","Rate","257","units","0","v733407","3","4.8","","","","1"
"2015","Baie-Comeau, Quebec","2011S0504406","Rate","257","units","0","v733407","3","6.7","","","","1"
"2016","Baie-Comeau, Quebec","2011S0504406","Rate","257","units","0","v733407","3","9.5","","","","1"
"2017","Baie-Comeau, Quebec","2011S0504406","Rate","257","units","0","v733407","3","10.1","","","","1"
"2018","Baie-Comeau, Quebec","2011S0504406","Rate","257","units","0","v733407","3","6.6","","","","1"
"2019","Baie-Comeau, Quebec","2011S0504406","Rate","257","units","0","v733407","3","6.7","","","","1"
"2020","Baie-Comeau, Quebec","2011S0504406","Rate","257","units","0","v733407","3","4.3","","","","1"
"2021","Baie-Comeau, Quebec","2011S0504406","Rate","257","units","0","v733407","3","4.0","","","","1"
"2022","Baie-Comeau, Quebec","2011S0504406","Rate","257","units","0","v733407","3","0.7","","","","1"
"2014","Bathurst, New Brunswick","2011S0504328","Rate","257","units","0","v733418","4","9.9","","","","1"
"2015","Bathurst, New Brunswick","2011S0504328","Rate","257","units","0","v733418","4","9.4","","","","1"
"2016","Bathurst, New Brunswick","2011S0504328","Rate","257","units","0","v733418","4","10.4","","","","1"
"2017","Bathurst, New Brunswick","2011S0504328","Rate","257","units","0","v733418","4","6.1","","","","1"
"2018","Bathurst, New Brunswick","2011S0504328","Rate","257","units","0","v733418","4","5.1","","","","1"
"2019","Bathurst, New Brunswick","2011S0504328","Rate","257","units","0","v733418","4","5.3","","","","1"
"2020","Bathurst, New Brunswick","2011S0504328","Rate","257","units","0","v733418","4","4.3","","","","1"
"2021","Bathurst, New Brunswick","2011S0504328","Rate","257","units","0","v733418","4","0.7","","","","1"
"2022","Bathurst, New Brunswick","2011S0504328","Rate","257","units","0","v733418","4","1.9","","","","1"
"2014","Bay Roberts, Newfoundland and Labrador","2011S0504005","Rate","257","units","0","v42136015","115","","F","","","1"
"2015","Bay Roberts, Newfoundland and Labrador","2011S0504005","Rate","257","units","0","v42136015","115","","F","","","1"
"2016","Bay Roberts, Newfoundland and Labrador","2011S0504005","Rate","257","units","0","v42136015","115","","F","","","1"
"2017","Bay Roberts, Newfoundland and Labrador","2011S0504005","Rate","257","units","0","v42136015","115","","F","","","1"
"2018","Bay Roberts, Newfoundland and Labrador","2011S0504005","Rate","257","units","0","v42136015","115","","F","","","1"
"2019","Bay Roberts, Newfoundland and Labrador","2011S0504005","Rate","257","units","0","v42136015","115","","F","","","1"
"2020","Bay Roberts, Newfoundland and Labrador","2011S0504005","Rate","257","units","0","v42136015","115","","F","","","1"
"2021","Bay Roberts, Newfoundland and Labrador","2011S0504005","Rate","257","units","0","v42136015","115","","F","","","1"
"2022","Bay Roberts, Newfoundland and Labrador","2011S0504005","Rate","257","units","0","v42136015","115","","F","","","1"
"2014","Bonnyville No. 87, Alberta","4812004","Rate","257","units","0","v53843496","125","","F","","","1"
"2015","Bonnyville No. 87, Alberta","4812004","Rate","257","units","0","v53843496","125","","F","","","1"
"2016","Bonnyville No. 87, Alberta","4812004","Rate","257","units","0","v53843496","125","","F","","","1"
"2017","Bonnyville No. 87, Alberta","4812004","Rate","257","units","0","v53843496","125","","F","","","1"
"2018","Bonnyville No. 87, Alberta","4812004","Rate","257","units","0","v53843496","125","","F","","","1"
"2019","Bonnyville No. 87, Alberta","4812004","Rate","257","units","0","v53843496","125","","F","","","1"
"2020","Bonnyville No. 87, Alberta","4812004","Rate","257","units","0","v53843496","125","","F","","","1"
"2021","Bonnyville No. 87, Alberta","4812004","Rate","257","units","0","v53843496","125","","F","","","1"
"2022","Bonnyville No. 87, Alberta","4812004","Rate","257","units","0","v53843496","125","","F","","","1"
"2014","Bracebridge, Ontario","2011A00053544018","Rate","257","units","0","v733478","5","3.9","","","","1"
"2015","Bracebridge, Ontario","2011A00053544018","Rate","257","units","0","v733478","5","2.6","","","","1"
"2016","Bracebridge, Ontario","2011A00053544018","Rate","257","units","0","v733478","5","2.0","","","","1"
"2017","Bracebridge, Ontario","2011A00053544018","Rate","257","units","0","v733478","5","2.3","","","","1"
"2018","Bracebridge, Ontario","2011A00053544018","Rate","257","units","0","v733478","5","0.4","","","","1"
