"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462638683","90.1.1","35437435","","","","0"
"2015","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462638683","90.1.1","35702908","","","","0"
"2016","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462638683","90.1.1","36109487","","","","0"
"2017","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462638683","90.1.1","36545236","","","","0"
"2018","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462638683","90.1.1","37065084","","","","0"
"2019","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462638683","90.1.1","37601230","","","","0"
"2020","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462638683","90.1.1","38007166","","","","0"
"2021","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462638683","90.1.1","38226498","","","","0"
"2022","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462638683","90.1.1","38929902","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v1061304781","1.1.1","528159","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v1061304781","1.1.1","528117","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v1061304781","1.1.1","529426","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v1061304781","1.1.1","528249","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v1061304781","1.1.1","525560","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v1061304781","1.1.1","523427","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v1061304781","1.1.1","521359","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v1061304781","1.1.1","520452","","","","0"
"2022","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v1061304781","1.1.1","525972","","","","0"
