"REF_DATE","GEO","DGUID","Income concept","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Canada","2016A000011124","Adjusted market income","Number","223","units","0","v96439636","1.1","0.426","A","","","3"
"2015","Canada","2016A000011124","Adjusted market income","Number","223","units","0","v96439636","1.1","0.435","A","","","3"
"2016","Canada","2016A000011124","Adjusted market income","Number","223","units","0","v96439636","1.1","0.431","A","","","3"
"2017","Canada","2016A000011124","Adjusted market income","Number","223","units","0","v96439636","1.1","0.438","A","","","3"
"2018","Canada","2016A000011124","Adjusted market income","Number","223","units","0","v96439636","1.1","0.429","A","","","3"
"2019","Canada","2016A000011124","Adjusted market income","Number","223","units","0","v96439636","1.1","0.421","A","","","3"
"2020","Canada","2016A000011124","Adjusted market income","Number","223","units","0","v96439636","1.1","0.439","A","","","3"
"2021","Canada","2016A000011124","Adjusted market income","Number","223","units","0","v96439636","1.1","0.432","A","","","3"
"2014","Canada","2016A000011124","Adjusted total income","Number","223","units","0","v96439637","1.2","0.351","A","","","3"
"2015","Canada","2016A000011124","Adjusted total income","Number","223","units","0","v96439637","1.2","0.354","A","","","3"
"2016","Canada","2016A000011124","Adjusted total income","Number","223","units","0","v96439637","1.2","0.347","A","","","3"
"2017","Canada","2016A000011124","Adjusted total income","Number","223","units","0","v96439637","1.2","0.352","A","","","3"
"2018","Canada","2016A000011124","Adjusted total income","Number","223","units","0","v96439637","1.2","0.345","A","","","3"
"2019","Canada","2016A000011124","Adjusted total income","Number","223","units","0","v96439637","1.2","0.338","A","","","3"
"2020","Canada","2016A000011124","Adjusted total income","Number","223","units","0","v96439637","1.2","0.321","A","","","3"
"2021","Canada","2016A000011124","Adjusted total income","Number","223","units","0","v96439637","1.2","0.332","A","","","3"
"2014","Canada","2016A000011124","Adjusted after-tax income","Number","223","units","0","v96439638","1.3","0.310","A","","","3"
"2015","Canada","2016A000011124","Adjusted after-tax income","Number","223","units","0","v96439638","1.3","0.314","A","","","3"
"2016","Canada","2016A000011124","Adjusted after-tax income","Number","223","units","0","v96439638","1.3","0.306","A","","","3"
"2017","Canada","2016A000011124","Adjusted after-tax income","Number","223","units","0","v96439638","1.3","0.309","A","","","3"
"2018","Canada","2016A000011124","Adjusted after-tax income","Number","223","units","0","v96439638","1.3","0.304","A","","","3"
"2019","Canada","2016A000011124","Adjusted after-tax income","Number","223","units","0","v96439638","1.3","0.299","A","","","3"
"2020","Canada","2016A000011124","Adjusted after-tax income","Number","223","units","0","v96439638","1.3","0.281","A","","","3"
"2021","Canada","2016A000011124","Adjusted after-tax income","Number","223","units","0","v96439638","1.3","0.288","A","","","3"


