"REF_DATE","GEO","DGUID","Persons in low income","Low income lines","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2016A000011124","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132195","1.1.6.2","14.5","B","","","1"
"2016","Canada","2016A000011124","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132195","1.1.6.2","12.9","B","","","1"
"2017","Canada","2016A000011124","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132195","1.1.6.2","11.9","A","","","1"
"2018","Canada","2016A000011124","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132195","1.1.6.2","11.2","B","","","1"
"2019","Canada","2016A000011124","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132195","1.1.6.2","10.3","B","","","1"
"2020","Canada","2016A000011124","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132195","1.1.6.2","6.4","B","","","1"
"2021","Canada","2016A000011124","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132195","1.1.6.2","7.4","B","","","1"
"2015","Canada","2016A000011124","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132198","1.2.6.2","16.3","C","","","1"
"2016","Canada","2016A000011124","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132198","1.2.6.2","13.9","C","","","1"
"2017","Canada","2016A000011124","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132198","1.2.6.2","11.7","C","","","1"
"2018","Canada","2016A000011124","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132198","1.2.6.2","10.6","C","","","1"
"2019","Canada","2016A000011124","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132198","1.2.6.2","9.4","C","","","1"
"2020","Canada","2016A000011124","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132198","1.2.6.2","4.7","C","","","1"
"2021","Canada","2016A000011124","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132198","1.2.6.2","6.4","C","","","1"
"2015","Canada","2016A000011124","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132201","1.3.6.2","15.7","B","","","1"
"2016","Canada","2016A000011124","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132201","1.3.6.2","14.0","B","","","1"
"2017","Canada","2016A000011124","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132201","1.3.6.2","13.4","A","","","1"
"2018","Canada","2016A000011124","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132201","1.3.6.2","12.8","B","","","1"
"2019","Canada","2016A000011124","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132201","1.3.6.2","11.8","B","","","1"
"2020","Canada","2016A000011124","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132201","1.3.6.2","7.8","B","","","1"
"2021","Canada","2016A000011124","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132201","1.3.6.2","8.2","B","","","1"
"2015","Canada","2016A000011124","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132204","1.4.6.2","7.1","C","","","1"
"2016","Canada","2016A000011124","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132204","1.4.6.2","7.1","C","","","1"
"2017","Canada","2016A000011124","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132204","1.4.6.2","6.1","C","","","1"
"2018","Canada","2016A000011124","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132204","1.4.6.2","6.0","C","","","1"
"2019","Canada","2016A000011124","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132204","1.4.6.2","5.7","C","","","1"
"2020","Canada","2016A000011124","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132204","1.4.6.2","3.1","C","","","1"
"2021","Canada","2016A000011124","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132204","1.4.6.2","5.6","C","","","1"
"2015","Canada","2016A000011124","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132231","1.13.6.2","10.9","B","","","1"
"2016","Canada","2016A000011124","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132231","1.13.6.2","9.4","B","","","1"
"2017","Canada","2016A000011124","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132231","1.13.6.2","8.6","B","","","1"
"2018","Canada","2016A000011124","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132231","1.13.6.2","7.6","B","","","1"
"2019","Canada","2016A000011124","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132231","1.13.6.2","7.0","C","","","1"
"2020","Canada","2016A000011124","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132231","1.13.6.2","3.4","C","","","1"
"2021","Canada","2016A000011124","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132231","1.13.6.2","4.4","C","","","1"
"2015","Canada","2016A000011124","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132240","1.16.6.2","3.3","D","","","1"
"2016","Canada","2016A000011124","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132240","1.16.6.2","3.5","D","","","1"
"2017","Canada","2016A000011124","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132240","1.16.6.2","3.3","D","","","1"
"2018","Canada","2016A000011124","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132240","1.16.6.2","2.7","D","","","1"
"2019","Canada","2016A000011124","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132240","1.16.6.2","3.0","D","","","1"
"2020","Canada","2016A000011124","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132240","1.16.6.2","1.3","D","","","1"
"2021","Canada","2016A000011124","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132240","1.16.6.2","2.4","D","","","1"
"2015","Canada","2016A000011124","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132249","1.19.6.2","16.1","C","","","1"
"2016","Canada","2016A000011124","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132249","1.19.6.2","13.8","C","","","1"
"2017","Canada","2016A000011124","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132249","1.19.6.2","11.6","C","","","1"
"2018","Canada","2016A000011124","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132249","1.19.6.2","10.4","C","","","1"
"2019","Canada","2016A000011124","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132249","1.19.6.2","9.2","C","","","1"
"2020","Canada","2016A000011124","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132249","1.19.6.2","4.6","C","","","1"
"2021","Canada","2016A000011124","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132249","1.19.6.2","6.1","C","","","1"
"2015","Canada","2016A000011124","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132252","1.20.6.2","13.2","C","","","1"
